dataset	dimensions	fold	segment	rotation	pair	bits_per_coordinate	fit_nearest_sse
sift	128	A_TO_B	0	IDENTITY	24	11	7.200299252137567
sift	128	A_TO_B	0	IDENTITY	25	1	10551147.760076493
sift	128	A_TO_B	0	IDENTITY	25	2	1970352.7692210476
sift	128	A_TO_B	0	IDENTITY	25	3	471977.6403292384
sift	128	A_TO_B	0	IDENTITY	25	4	118932.29440661194
sift	128	A_TO_B	0	IDENTITY	25	5	30003.874819751858
sift	128	A_TO_B	0	IDENTITY	25	6	7436.367078254943
sift	128	A_TO_B	0	IDENTITY	25	7	1850.0688421385694
sift	128	A_TO_B	0	IDENTITY	25	8	468.08886928023765
sift	128	A_TO_B	0	IDENTITY	25	9	115.56018103265103
sift	128	A_TO_B	0	IDENTITY	25	10	28.470701275217905
sift	128	A_TO_B	0	IDENTITY	25	11	7.210618689640729
sift	128	A_TO_B	0	IDENTITY	26	1	10460644.853641545
sift	128	A_TO_B	0	IDENTITY	26	2	1952725.1156921363
sift	128	A_TO_B	0	IDENTITY	26	3	472303.6891908822
sift	128	A_TO_B	0	IDENTITY	26	4	117226.84444303723
sift	128	A_TO_B	0	IDENTITY	26	5	29539.06545767131
sift	128	A_TO_B	0	IDENTITY	26	6	7363.633533366619
sift	128	A_TO_B	0	IDENTITY	26	7	1857.0871996113428
sift	128	A_TO_B	0	IDENTITY	26	8	471.49659584682195
sift	128	A_TO_B	0	IDENTITY	26	9	115.2487275159514
sift	128	A_TO_B	0	IDENTITY	26	10	29.133396718260073
sift	128	A_TO_B	0	IDENTITY	26	11	7.3065189948386635
sift	128	A_TO_B	0	IDENTITY	27	1	10830826.497391138
sift	128	A_TO_B	0	IDENTITY	27	2	1969915.6753979952
sift	128	A_TO_B	0	IDENTITY	27	3	480666.07356846123
sift	128	A_TO_B	0	IDENTITY	27	4	120406.07997876946
sift	128	A_TO_B	0	IDENTITY	27	5	30023.475476555886
sift	128	A_TO_B	0	IDENTITY	27	6	7500.05223331143
sift	128	A_TO_B	0	IDENTITY	27	7	1870.954511419287
sift	128	A_TO_B	0	IDENTITY	27	8	464.2123112828716
sift	128	A_TO_B	0	IDENTITY	27	9	116.69092790609497
sift	128	A_TO_B	0	IDENTITY	27	10	28.935590196928267
sift	128	A_TO_B	0	IDENTITY	27	11	7.230996619263712
sift	128	A_TO_B	0	IDENTITY	28	1	10890384.836888373
sift	128	A_TO_B	0	IDENTITY	28	2	1976295.1971719656
sift	128	A_TO_B	0	IDENTITY	28	3	475782.6810008563
sift	128	A_TO_B	0	IDENTITY	28	4	119167.3290004607
sift	128	A_TO_B	0	IDENTITY	28	5	29840.186938480812
sift	128	A_TO_B	0	IDENTITY	28	6	7380.167102018218
sift	128	A_TO_B	0	IDENTITY	28	7	1862.5449645741278
sift	128	A_TO_B	0	IDENTITY	28	8	461.8598648027952
sift	128	A_TO_B	0	IDENTITY	28	9	116.83902021009183
sift	128	A_TO_B	0	IDENTITY	28	10	29.173712292127185
sift	128	A_TO_B	0	IDENTITY	28	11	7.2735991730358265
sift	128	A_TO_B	0	IDENTITY	29	1	11052249.644683067
sift	128	A_TO_B	0	IDENTITY	29	2	1977841.8872980948
sift	128	A_TO_B	0	IDENTITY	29	3	475134.4345810899
sift	128	A_TO_B	0	IDENTITY	29	4	118764.82956778278
sift	128	A_TO_B	0	IDENTITY	29	5	29436.169262676423
sift	128	A_TO_B	0	IDENTITY	29	6	7432.021345903722
sift	128	A_TO_B	0	IDENTITY	29	7	1852.8037827843063
sift	128	A_TO_B	0	IDENTITY	29	8	464.5714748046977
sift	128	A_TO_B	0	IDENTITY	29	9	115.95216347737647
sift	128	A_TO_B	0	IDENTITY	29	10	28.807415318285877
sift	128	A_TO_B	0	IDENTITY	29	11	7.3233854389856745
sift	128	A_TO_B	0	IDENTITY	30	1	11218463.842715628
sift	128	A_TO_B	0	IDENTITY	30	2	2004256.9580074425
sift	128	A_TO_B	0	IDENTITY	30	3	471320.89653904754
sift	128	A_TO_B	0	IDENTITY	30	4	118897.25516809754
sift	128	A_TO_B	0	IDENTITY	30	5	29435.004983328152
sift	128	A_TO_B	0	IDENTITY	30	6	7294.485196657792
sift	128	A_TO_B	0	IDENTITY	30	7	1851.2016610613732
sift	128	A_TO_B	0	IDENTITY	30	8	459.4663900652548
sift	128	A_TO_B	0	IDENTITY	30	9	114.52891502399729
sift	128	A_TO_B	0	IDENTITY	30	10	29.135791959963555
sift	128	A_TO_B	0	IDENTITY	30	11	7.2586405818062385
sift	128	A_TO_B	0	IDENTITY	31	1	11418452.653626302
sift	128	A_TO_B	0	IDENTITY	31	2	2013296.4209670816
sift	128	A_TO_B	0	IDENTITY	31	3	471645.1074572763
sift	128	A_TO_B	0	IDENTITY	31	4	118685.70914828661
sift	128	A_TO_B	0	IDENTITY	31	5	29408.604805242343
sift	128	A_TO_B	0	IDENTITY	31	6	7322.346851475346
sift	128	A_TO_B	0	IDENTITY	31	7	1856.4524659286067
sift	128	A_TO_B	0	IDENTITY	31	8	461.57889624779693
sift	128	A_TO_B	0	IDENTITY	31	9	115.0066846667838
sift	128	A_TO_B	0	IDENTITY	31	10	28.99867034833877
sift	128	A_TO_B	0	IDENTITY	31	11	7.234318328646047
sift	128	A_TO_B	0	IDENTITY	32	1	11488491.41412592
sift	128	A_TO_B	0	IDENTITY	32	2	2022512.976805101
sift	128	A_TO_B	0	IDENTITY	32	3	478279.4892949542
sift	128	A_TO_B	0	IDENTITY	32	4	118767.10961829255
sift	128	A_TO_B	0	IDENTITY	32	5	29482.214048450667
sift	128	A_TO_B	0	IDENTITY	32	6	7439.366972229948
sift	128	A_TO_B	0	IDENTITY	32	7	1847.7316407158514
sift	128	A_TO_B	0	IDENTITY	32	8	460.67379942403295
sift	128	A_TO_B	0	IDENTITY	32	9	116.30746915900176
sift	128	A_TO_B	0	IDENTITY	32	10	29.161804704641035
sift	128	A_TO_B	0	IDENTITY	32	11	7.329176294843624
sift	128	A_TO_B	0	IDENTITY	33	1	11616268.72179306
sift	128	A_TO_B	0	IDENTITY	33	2	2039590.7883972074
sift	128	A_TO_B	0	IDENTITY	33	3	482894.4623418999
sift	128	A_TO_B	0	IDENTITY	33	4	119162.57402396743
sift	128	A_TO_B	0	IDENTITY	33	5	29807.79082504981
sift	128	A_TO_B	0	IDENTITY	33	6	7343.618261118062
sift	128	A_TO_B	0	IDENTITY	33	7	1831.713947085683
sift	128	A_TO_B	0	IDENTITY	33	8	459.4462294968057
sift	128	A_TO_B	0	IDENTITY	33	9	115.30677154988825
sift	128	A_TO_B	0	IDENTITY	33	10	29.098272233900374
sift	128	A_TO_B	0	IDENTITY	33	11	7.252488711574175
sift	128	A_TO_B	0	IDENTITY	34	1	11971277.415235534
sift	128	A_TO_B	0	IDENTITY	34	2	2043193.947184595
sift	128	A_TO_B	0	IDENTITY	34	3	467977.8825614689
sift	128	A_TO_B	0	IDENTITY	34	4	118258.20889737108
sift	128	A_TO_B	0	IDENTITY	34	5	29552.912127757052
sift	128	A_TO_B	0	IDENTITY	34	6	7523.646771977552
sift	128	A_TO_B	0	IDENTITY	34	7	1880.6863204450633
sift	128	A_TO_B	0	IDENTITY	34	8	459.82617215794005
sift	128	A_TO_B	0	IDENTITY	34	9	116.03477535765884
sift	128	A_TO_B	0	IDENTITY	34	10	28.96776327041544
sift	128	A_TO_B	0	IDENTITY	34	11	7.206059375159024
sift	128	A_TO_B	0	IDENTITY	35	1	12178763.459560404
sift	128	A_TO_B	0	IDENTITY	35	2	2080954.4293686377
sift	128	A_TO_B	0	IDENTITY	35	3	474605.68068009324
sift	128	A_TO_B	0	IDENTITY	35	4	118877.0737773952
sift	128	A_TO_B	0	IDENTITY	35	5	29490.384600673453
sift	128	A_TO_B	0	IDENTITY	35	6	7417.015581865446
sift	128	A_TO_B	0	IDENTITY	35	7	1844.4733132068855
sift	128	A_TO_B	0	IDENTITY	35	8	464.7816131948964
sift	128	A_TO_B	0	IDENTITY	35	9	115.4854382372962
sift	128	A_TO_B	0	IDENTITY	35	10	28.981158720831246
sift	128	A_TO_B	0	IDENTITY	35	11	7.211981968814406
sift	128	A_TO_B	0	IDENTITY	36	1	12277937.165780455
sift	128	A_TO_B	0	IDENTITY	36	2	2112994.8840029263
sift	128	A_TO_B	0	IDENTITY	36	3	483854.67740708496
sift	128	A_TO_B	0	IDENTITY	36	4	120321.43710145388
sift	128	A_TO_B	0	IDENTITY	36	5	29432.20588825003
sift	128	A_TO_B	0	IDENTITY	36	6	7407.482182409352
sift	128	A_TO_B	0	IDENTITY	36	7	1853.8423423899553
sift	128	A_TO_B	0	IDENTITY	36	8	460.7130530080019
sift	128	A_TO_B	0	IDENTITY	36	9	115.44969979183901
sift	128	A_TO_B	0	IDENTITY	36	10	28.795038490753427
sift	128	A_TO_B	0	IDENTITY	36	11	7.3754548722048145
sift	128	A_TO_B	0	IDENTITY	37	1	12361611.621528322
sift	128	A_TO_B	0	IDENTITY	37	2	2091662.7094787944
sift	128	A_TO_B	0	IDENTITY	37	3	475940.59678664885
sift	128	A_TO_B	0	IDENTITY	37	4	119277.86958993161
sift	128	A_TO_B	0	IDENTITY	37	5	29593.09308453524
sift	128	A_TO_B	0	IDENTITY	37	6	7445.693170301056
sift	128	A_TO_B	0	IDENTITY	37	7	1872.3888474693977
